Name:;Position:;Hand:;IT;SP;ST;EN;DU;DI;SK;PA;PC;DF;SC;EX;LD;OV;Nation:;Alter:;Größe:;Gewicht:;
Kunni Lingus;RW;L;61;92;58;66;76;55;71;69;75;62;80;72;63;75;LAT;19;186;93;
Justin Buffalien;D;R;79;65;71;68;86;34;75;62;68;79;59;83;41;75;USA;19;193;118;
Hansi Hintensteher;G;L;70;74;96;75;89;76;95;62;76;NA;NA;85;72;75;AUT;19;181;82;
Mac Fleetwood;C;L;58;70;69;75;63;50;72;77;85;49;72;52;67;74;ENG;19;180;92;
Jonas Taublind;LW;R;68;90;67;78;74;67;75;68;79;67;60;67;43;74;SWE;18;186;82;
Len Derrayne;G;R;44;94;69;75;81;60;78;90;73;NA;NA;80;28;74;CAN;19;186;86;
Wyatt Starline;D;L;71;65;76;70;80;75;54;76;76;55;69;84;62;73;CAN;18;197;104;
Ansgar Nienicht;G;R;68;87;62;83;69;70;88;71;57;NA;NA;72;65;73;GER;18;186;87;
Waldemar Zartmann;C;R;66;63;70;37;68;69;81;74;67;67;71;40;36;72;GER;19;178;86;
Warmal Sogout;D;L;73;62;89;44;67;53;69;60;53;82;36;50;43;72;TUN;19;182;83;
Dominic Kahoun;C;L;61;74;69;65;70;54;73;71;70;56;68;43;36;71;FRA;19;177;74;
Harek Rishna;LW;R;65;62;75;68;58;82;60;67;78;56;64;69;56;71;SVK;18;186;88;
Raimund Hufkotte;C;R;62;77;71;58;69;75;68;70;72;64;53;66;48;70;GER;17;176;72;
Simsa Labimm;G;R;44;83;65;88;63;70;70;67;83;NA;NA;33;44;70;GHA;18;186;75;
Wally Wanker;LW;R;47;70;82;59;61;55;61;58;67;54;76;62;37;69;ENG;17;183;87;
Theo Retisch;D;L;74;76;55;89;87;76;61;55;74;71;31;45;55;69;LIE;18;185;88;
Andrej Werna;G;R;54;80;72;73;74;50;69;70;73;NA;NA;68;42;68;POL;19;189;91;
Sebastian Brigge;G;L;96;65;78;53;78;46;77;64;81;NA;NA;63;27;68;GER;18;195;93;
Steve Elblitz;RW;L;63;55;76;59;62;70;71;62;58;48;66;37;52;67;GER;17;187;96;
Patrizio Minto;D;R;35;67;55;71;68;94;71;68;59;46;69;38;45;67;MLT;18;176;73;
Binta Lentfrey;C;L;57;61;74;70;69;98;64;63;65;39;64;50;36;66;COB;19;178;86;
Radam Laba;C;L;61;74;63;70;71;59;70;47;65;53;64;33;34;65;CZE;19;171;74;
Uwe Zahnlos;RW;R;88;70;68;69;76;26;64;62;71;63;33;39;45;65;GER;18;176;95;
Wim Pimpelmans;RW;L;43;75;62;70;58;62;71;60;65;53;58;39;62;65;NED;18;182;80;
Will Inima;LW;R;65;68;52;48;69;63;55;68;75;53;59;29;29;65;NGR;18;198;89;
Weniq Kanna;D;R;52;69;68;49;60;55;68;57;68;69;35;48;44;65;ALB;18;184;87;
Petter Holtby;G;R;56;69;78;68;58;40;69;65;79;NA;NA;51;46;65;DEN;19;184;78;
Rico Schmitt;C;L;53;68;61;57;66;63;72;48;43;69;67;47;36;64;GER;17;193;99;
Mario Brossers;C;R;52;65;73;47;59;59;59;70;67;52;48;59;67;64;SUI;19;188;92;
Mirko Buttje;RW;L;76;52;66;63;81;39;67;51;56;63;57;35;46;64;GER;17;195;98;
Leon Miller;D;R;68;61;58;37;50;66;61;56;67;69;40;56;28;64;GER;18;182;88;
Chihua Hua;G;L;48;69;61;88;67;50;81;63;68;NA;NA;33;68;64;CHN;19;174;77;
Otto Mane;LW;R;58;58;58;58;58;58;58;58;58;58;58;58;58;63;GHA;17;167;65;
Chris Schnell;D;R;64;69;51;54;47;38;69;54;61;67;45;32;44;63;GER;19;181;80;
Kevin Liebkind;D;R;61;53;62;60;64;46;51;66;62;65;30;61;28;63;GER;18;190;99;
Cam Vidvicky;D;R;65;41;55;57;37;44;69;52;70;69;45;61;39;63;CAN;17;195;97;
Janne Myvalainen;D;R;67;61;53;70;59;37;62;51;57;68;45;26;51;63;FIN;18;197;92;
Nuriyaki Minamoto;C;R;61;39;60;39;67;55;47;58;67;62;63;48;49;62;JPN;18;170;73;
Mark Uecker;RW;R;60;71;37;51;78;52;67;54;62;59;61;40;26;62;GER;19;187;90;
Johannes Balhorn;LW;R;70;43;56;71;69;58;68;67;56;67;37;44;66;62;GER;18;182;82;
Blair Witch;D;L;63;51;57;59;59;29;36;65;58;71;35;60;64;62;CAN;18;198;95;
Frederick Schabott;G;L;61;63;66;76;76;91;66;63;66;NA;NA;53;62;62;GER;19;176;89;
Aivar Calderon;C;L;28;50;56;61;37;51;71;62;67;55;58;41;53;61;CHI;19;177;88;
Jannik Meyer;LW;L;61;38;56;59;72;71;69;27;81;68;57;39;25;61;GER;19;177;76;
Angli Zisme;LW;L;55;47;72;68;25;64;60;66;68;51;39;48;70;61;EST;18;197;98;
Ray Serauch;D;L;59;56;51;47;37;34;69;64;48;69;36;52;44;61;CAN;19;198;116;
Ross McGowan;C;L;48;46;63;57;71;55;66;57;58;36;62;54;36;60;USA;18;179;87;
Manuel Hauschwein;RW;R;58;56;59;62;57;49;43;48;65;42;67;40;55;60;GER;17;177;76;
